SCI;NO;EN
Anas laysanensis;laysanand;Laysan Duck
Anas wyvilliana;hawaiiand;Hawaiian Duck
Anas luzonica;filippinerand;Philippine Duck
Anas poecilorhyncha;flekknebband;Indian Spot-billed Duck
Anas zonorhyncha;kinaand;Eastern Spot-billed Duck
Anas platyrhynchos;stokkand;Mallard
Anas fulvigula;golfand;Mottled Duck
Anas rubripes;rødfotand;American Black Duck
Anas diazi;mexicoand;Mexican Duck
Anas capensis;kappand;Cape Teal
Anas bahamensis;hvitkinnand;White-cheeked Pintail
Anas erythrorhyncha;rødnebband;Red-billed Teal
Anas georgica;spisshaleand;Yellow-billed Pintail
Anas eatoni;kerguelenand;Eaton's Pintail
Anas acuta;stjertand;Northern Pintail
Anas crecca;krikkand;Eurasian Teal
Anas carolinensis;amerikakrikkand;Green-winged Teal
Anas flavirostris;gulnebbkrikkand;Yellow-billed Teal
Anas andium;andeskrikkand;Andean Teal
Anas gibberifrons;gråkrikkand;Sunda Teal
Anas albogularis;hvitstrupekrikkand;Andaman Teal
Anas theodori;maskareneand;Mascarene Teal
Anas gracilis;nomadeand;Grey Teal
Anas castanea;kastanjeand;Chestnut Teal
Anas bernieri;gasserkrikkand;Bernier's Teal
Anas chlorotis;kobberand;Brown Teal
Anas aucklandica;bronseand;Auckland Teal
Anas nesiotis;campbelland;Campbell Teal
Marmaronetta angustirostris;marmorand;Marbled Duck
Rhodonessa caryophyllacea;rosenhodeand;Pink-headed Duck
Netta rufina;rødhodeand;Red-crested Pochard
Netta peposaca;peposacaand;Rosy-billed Pochard
Netta erythrophthalma;fløyelsand;Southern Pochard
Aythya valisineria;kanvasand;Canvasback
Aythya americana;kobberhodeand;Redhead
Aythya ferina;taffeland;Common Pochard
Aythya australis;australdykkand;Hardhead
Aythya innotata;alaotraand;Madagascar Pochard
Aythya baeri;amurand;Baer's Pochard
Aythya nyroca;hvitøyeand;Ferruginous Duck
Aythya novaeseelandiae;maoridykkand;New Zealand Scaup
Aythya collaris;ringand;Ring-necked Duck
Aythya fuligula;toppand;Tufted Duck
Aythya marila;bergand;Greater Scaup
Aythya affinis;purpurhodeand;Lesser Scaup
Polysticta stelleri;stellerand;Steller's Eider
Camptorhynchus labradorius;labradorand;Labrador Duck
Somateria fischeri;brilleærfugl;Spectacled Eider
Somateria spectabilis;praktærfugl;King Eider
Somateria mollissima;ærfugl;Common Eider
Histrionicus histrionicus;harlekinand;Harlequin Duck
Melanitta perspicillata;brilleand;Surf Scoter
Melanitta fusca;sjøorre;Velvet Scoter
Melanitta deglandi;amerikasjøorre;White-winged Scoter
Melanitta stejnegeri;sibirsjøorre;Stejneger's Scoter
Melanitta nigra;svartand;Common Scoter
Melanitta americana;amerikasvartand;Black Scoter
Clangula hyemalis;havelle;Long-tailed Duck
Bucephala albeola;bøffeland;Bufflehead
Bucephala clangula;kvinand;Common Goldeneye
Bucephala islandica;islandsand;Barrow's Goldeneye
Mergellus albellus;lappfiskand;Smew
Lophodytes cucullatus;hjelmfiskand;Hooded Merganser
Mergus australis;aucklandfiskand;New Zealand Merganser
Mergus octosetaceus;brasilfiskand;Brazilian Merganser
Mergus merganser;laksand;Common Merganser
Mergus serrator;siland;Red-breasted Merganser
Mergus squamatus;skjellfiskand;Scaly-sided Merganser
Heteronetta atricapilla;gjøkand;Black-headed Duck
Nomonyx dominicus;maskeand;Masked Duck
Oxyura jamaicensis;stivhaleand;Ruddy Duck
Oxyura ferruginea;andesand;Andean Duck
Oxyura vittata;trommeand;Lake Duck
Oxyura australis;blånebband;Blue-billed Duck
Oxyura maccoa;kaffeand;Maccoa Duck
Oxyura leucocephala;hvithodeand;White-headed Duck
Biziura lobata;pungand;Musk Duck
Alectura lathami;klaveovnhøne;Australian Brushturkey
Aepypodius arfakianus;hvitstrupeovnhøne;Wattled Brushturkey
Aepypodius bruijnii;treflikovnhøne;Waigeo Brushturkey
Talegalla cuvieri;rødnebbovnhøne;Red-billed Brushturkey
Talegalla fuscirostris;svartovnhøne;Black-billed Brushturkey
Talegalla jobiensis;rødbeinovnhøne;Collared Brushturkey
Leipoa ocellata;malleeovnhøne;Malleefowl
Macrocephalon maleo;hammerovnhøne;Maleo
Eulipoa wallacei;molukkovnhøne;Moluccan Megapode
Megapodius pritchardii;tongaovnhøne;Tongan Megapode
Megapodius laperouse;dvergovnhøne;Micronesian Megapode
Megapodius nicobariensis;nikobarovnhøne;Nicobar Megapode
Megapodius cumingii;mjaueovnhøne;Philippine Megapode
Megapodius bernsteinii;sulaovnhøne;Sula Megapode
Megapodius tenimberensis;tanimbarovnhøne;Tanimbar Megapode
Megapodius freycinet;sotovnhøne;Dusky Megapode
Megapodius geelvinkianus;biakovnhøne;Biak Scrubfowl
Megapodius eremita;melanesiaovnhøne;Melanesian Megapode
Megapodius layardi;vanuatuovnhøne;Vanuatu Megapode
Megapodius decollatus;papuaovnhøne;New Guinea Scrubfowl
Megapodius reinwardt;oransjebeinovnhøne;Orange-footed Scrubfowl
Ortalis vetula;kratthokko;Plain Chachalaca
Ortalis cinereiceps;gråhodehokko;Grey-headed Chachalaca
Ortalis garrula;kastanjevingehokko;Chestnut-winged Chachalaca
Ortalis ruficauda;llanoshokko;Rufous-vented Chachalaca
Ortalis erythroptera;rusthodehokko;Rufous-headed Chachalaca
Ortalis wagleri;sinaloahokko;Rufous-bellied Chachalaca
Ortalis poliocephala;guerrerohokko;West Mexican Chachalaca
Ortalis canicollis;chacohokko;Chaco Chachalaca
Ortalis leucogastra;hvitbukhokko;White-bellied Chachalaca
Ortalis guttata;buskhokko;Speckled Chachalaca
Ortalis araucuan;bahiahokko;East Brazilian Chachalaca
Ortalis squamata;skjellhokko;Scaled Chachalaca
Ortalis columbiana;colombiahokko;Colombian Chachalaca
Ortalis motmot;guyanahokko;Little Chachalaca
Ortalis ruficeps;kastanjehodehokko;Chestnut-headed Chachalaca
Ortalis superciliaris;blekbrynhokko;Buff-browed Chachalaca
Penelope argyrotis;sølvørehokko;Band-tailed Guan
Penelope barbata;skjegghokko;Bearded Guan
Penelope ortoni;mørkhodehokko;Baudo Guan
Penelope montagnii;andeshokko;Andean Guan
Penelope marail;marailhokko;Marail Guan
Penelope superciliaris;brasilhokko;Rusty-margined Guan
Penelope dabbenei;rødbrillehokko;Red-faced Guan
Penelope purpurascens;parykkhokko;Crested Guan
Penelope perspicax;caucahokko;Cauca Guan
Penelope albipennis;hvitvingehokko;White-winged Guan
Penelope jacquacu;jungelhokko;Spix's Guan
Penelope obscura;sothokko;Dusky-legged Guan
Penelope bridgesi;yungashokko;Yungas Guan
Penelope pileata;rustnakkehokko;White-crested Guan
Penelope ochrogaster;sumphokko;Chestnut-bellied Guan
Penelope jacucaca;hvitbrynhokko;White-browed Guan
Pipile pipile;trinidadhokko;Trinidad Piping Guan
Pipile cumanensis;blåstrupehokko;Blue-throated Piping Guan
Pipile grayi;hvitstrupehokko;White-throated Piping Guan
Pipile cujubi;rødstrupehokko;Red-throated Piping Guan
Pipile jacutinga;svartpannehokko;Black-fronted Piping Guan
Aburria aburri;gulflikhokko;Wattled Guan
Chamaepetes unicolor;svarthokko;Black Guan
Chamaepetes goudotii;blåmaskehokko;Sickle-winged Guan
Penelopina nigra;smekkehokko;Highland Guan
Oreophasis derbianus;hornhokko;Horned Guan
Nothocrax urumutum;brunhokko;Nocturnal Curassow
Mitu tomentosum;elvehokko;Crestless Curassow
Mitu salvini;loretohokko;Salvin's Curassow
Mitu tuberosum;kamnebbhokko;Razor-billed Curassow
Mitu mitu;alagoashokko;Alagoas Curassow
Pauxi pauxi;nordhjelmhokko;Helmeted Curassow
Pauxi unicornis;sørhjelmhokko;Horned Curassow
