SCI;NO;EN
Schoeniophylax phryganophilus;stråstjert;Chotoy Spinetail
Synallaxis scutata;okerkinnpiggstjert;Ochre-cheeked Spinetail
Synallaxis cinerascens;gråpiggstjert;Grey-bellied Spinetail
Synallaxis gujanensis;gråkronepiggstjert;Plain-crowned Spinetail
Synallaxis simoni;araguaiapiggstjert;Araguaia Spinetail
Synallaxis albilora;hvittøylepiggstjert;White-lored Spinetail
Synallaxis maranonica;marañonpiggstjert;Maranon Spinetail
Synallaxis hypochondriaca;storpiggstjert;Great Spinetail
Synallaxis chinchipensis;chinchipepiggstjert;Chinchipe Spinetail
Synallaxis stictothorax;flekkbrystpiggstjert;Necklaced Spinetail
Synallaxis zimmeri;rustbukpiggstjert;Russet-bellied Spinetail
Synallaxis brachyura;skiferpiggstjert;Slaty Spinetail
Synallaxis subpudica;boyacápiggstjert;Silvery-throated Spinetail
Synallaxis hellmayri;rødvingepiggstjert;Red-shouldered Spinetail
Synallaxis ruficapilla;rustkronepiggstjert;Rufous-capped Spinetail
Synallaxis cinerea;bahiapiggstjert;Bahia Spinetail
Synallaxis infuscata;alagoaspiggstjert;Pinto's Spinetail
Synallaxis moesta;sørgepiggstjert;Dusky Spinetail
Synallaxis macconnelli;flekkstrupepiggstjert;McConnell's Spinetail
Synallaxis cabanisi;sotørepiggstjert;Cabanis's Spinetail
Synallaxis hypospodia;gråbrystpiggstjert;Cinereous-breasted Spinetail
Synallaxis spixi;kjerrpiggstjert;Spix's Spinetail
Synallaxis albigularis;mørkbrystpiggstjert;Dark-breasted Spinetail
Synallaxis beverlyae;orinocopiggstjert;Rio Orinoco Spinetail
Synallaxis albescens;krattpiggstjert;Pale-breasted Spinetail
Synallaxis frontalis;sotpannepiggstjert;Sooty-fronted Spinetail
Synallaxis azarae;fjellpiggstjert;Azara's Spinetail
Synallaxis courseni;apurimacpiggstjert;Apurimac Spinetail
Synallaxis candei;skjeggpiggstjert;White-whiskered Spinetail
Synallaxis erythrothorax;rustbrystpiggstjert;Rufous-breasted Spinetail
Synallaxis kollari;smusstrupepiggstjert;Hoary-throated Spinetail
Synallaxis tithys;sothodepiggstjert;Blackish-headed Spinetail
Synallaxis fuscorufa;santamartapiggstjert;Rusty-headed Spinetail
Synallaxis unirufa;rustpiggstjert;Rufous Spinetail
Synallaxis castanea;svartstrupepiggstjert;Black-throated Spinetail
Synallaxis cinnamomea;stripebrystpiggstjert;Stripe-breasted Spinetail
Synallaxis rutilans;rutilpiggstjert;Ruddy Spinetail
Synallaxis cherriei;ruststrupepiggstjert;Chestnut-throated Spinetail
Euchrepomis callinota;rustgumpmaursmett;Rufous-rumped Antwren
Euchrepomis humeralis;rødskuldermaursmett;Chestnut-shouldered Antwren
Euchrepomis sharpei;gulskuldermaursmett;Yellow-rumped Antwren
Euchrepomis spodioptila;rødryggmaursmett;Ash-winged Antwren
Myrmornis torquata;vaktelmaurfugl;Wing-banded Antbird
Pygiptila stellaris;stjernemaurvarsler;Spot-winged Antshrike
Thamnistes anabatinus;klatremaurvarsler;Russet Antshrike
Thamnistes rufescens;rustmaurvarsler;Rufescent Antshrike
Microrhopias quixensis;perlevingemaursmett;Dot-winged Antwren
Neoctantes niger;svartgrovnebb;Black Bushbird
Clytoctantes alixii;kullgrovnebb;Recurve-billed Bushbird
Clytoctantes atrogularis;rondoniagrovnebb;Rondonia Bushbird
Epinecrophylla fulviventris;spraglestrupemaursmett;Checker-throated Stipplethroat
Epinecrophylla ornata;ornatmaursmett;Ornate Stipplethroat
Epinecrophylla erythrura;rødstjertmaursmett;Rufous-tailed Stipplethroat
Epinecrophylla leucophthalma;hvitøyemaursmett;White-eyed Stipplethroat
Epinecrophylla gutturalis;brunbukmaursmett;Brown-bellied Stipplethroat
Epinecrophylla haematonota;prikkstrupemaursmett;Rufous-backed Stipplethroat
Epinecrophylla spodionota;askeryggmaursmett;Foothill Stipplethroat
Epinecrophylla amazonica;madeiramaursmett;Rio Madeira Stipplethroat
Myrmorchilus strigilatus;striperyggmaurfugl;Stripe-backed Antbird
Aprositornis disjuncta;yapacanamaurfugl;Yapacana Antbird
Ammonastes pelzelni;spraglekinnmaurfugl;Grey-bellied Antbird
Myrmophylax atrothorax;svartbrystmaurfugl;Black-throated Antbird
Myrmotherula ignota;skjeggmaursmett;Moustached Antwren
Myrmotherula brachyura;dvergmaursmett;Pygmy Antwren
Myrmotherula surinamensis;guyanamaursmett;Guianan Streaked Antwren
Myrmotherula multostriata;amazonmaursmett;Amazonian Streaked Antwren
Myrmotherula pacifica;chocomaursmett;Pacific Antwren
Myrmotherula cherriei;strekmaursmett;Cherrie's Antwren
Myrmotherula klagesi;varzeamaursmett;Klages's Antwren
Myrmotherula longicauda;stripebrystmaursmett;Stripe-chested Antwren
Myrmotherula ambigua;gulstrupemaursmett;Yellow-throated Antwren
Myrmotherula sclateri;gulbukmaursmett;Sclater's Antwren
Myrmotherula axillaris;hvitflankemaursmett;White-flanked Antwren
Myrmotherula luctuosa;sølvflankemaursmett;Silvery-flanked Antwren
Myrmotherula schisticolor;skifermaursmett;Slaty Antwren
Myrmotherula sunensis;sotmaursmett;Rio Suno Antwren
Myrmotherula minor;småmaursmett;Salvadori's Antwren
Myrmotherula longipennis;langvingemaursmett;Long-winged Antwren
Myrmotherula urosticta;hvittippmaursmett;Band-tailed Antwren
Myrmotherula iheringi;svartbrystmaursmett;Ihering's Antwren
Myrmotherula fluminensis;riomaursmett;Rio de Janeiro Antwren
Myrmotherula grisea;yungasmaursmett;Yungas Antwren
Myrmotherula unicolor;tinnmaursmett;Unicolored Antwren
Myrmotherula snowi;alagoasmaursmett;Alagoas Antwren
Myrmotherula behni;gråvingemaursmett;Plain-winged Antwren
Myrmotherula menetriesii;gråmaursmett;Grey Antwren
Myrmotherula assimilis;blymaursmett;Leaden Antwren
Terenura maculata;kanelryggmaursmett;Streak-capped Antwren
Terenura sicki;svartryggmaursmett;Orange-bellied Antwren
Myrmochanes hemileucus;flodmaurfugl;Black-and-white Antbird
Formicivora iheringi;lianemaursmett;Narrow-billed Antwren
Formicivora erythronotos;svarthodemaursmett;Black-hooded Antwren
Formicivora intermedia;hvitsidemaursmett;Northern White-fringed Antwren
Formicivora grisea;hvitrandmaursmett;Southern White-fringed Antwren
Formicivora serrana;serramaursmett;Serra Antwren
Formicivora melanogaster;svartbukmaursmett;Black-bellied Antwren
Formicivora rufa;rustryggmaursmett;Rusty-backed Antwren
Formicivora grantsaui;sincoramaursmett;Sincora Antwren
Formicivora acutirostris;marskmaursmett;Marsh Antwren
Dichrozona cincta;båndmaursmett;Banded Antbird
Rhopias gularis;stjernestrupemaursmett;Star-throated Antwren
Isleria hauxwelli;gråbukmaursmett;Plain-throated Antwren
Isleria guttata;rustbukmaursmett;Rufous-bellied Antwren
Thamnomanes ardesiacus;svarthakemaurvarsler;Dusky-throated Antshrike
Thamnomanes saturninus;svartstrupemaurvarsler;Saturnine Antshrike
Thamnomanes caesius;askemaurvarsler;Cinereous Antshrike
Thamnomanes schistogynus;stålmaurvarsler;Bluish-slate Antshrike
Megastictus margaritatus;perlemaurvarsler;Pearly Antshrike
Sakesphoroides cristatus;sølvkinnmaurvarsler;Silvery-cheeked Antshrike
Herpsilochmus pileatus;bahiamaursmett;Bahia Antwren
Herpsilochmus atricapillus;svartkronemaursmett;Black-capped Antwren
Herpsilochmus stotzi;aripuanamaursmett;Aripuana Antwren
Herpsilochmus praedictus;campinaranamaursmett;Predicted Antwren
Herpsilochmus motacilloides;krembukmaursmett;Creamy-bellied Antwren
Herpsilochmus parkeri;askestrupemaursmett;Ash-throated Antwren
Herpsilochmus sticturus;flekkstjertmaursmett;Spot-tailed Antwren
Herpsilochmus dugandi;loretomaursmett;Dugand's Antwren
Herpsilochmus stictocephalus;kajennemaursmett;Todd's Antwren
Herpsilochmus dorsimaculatus;flekkryggmaursmett;Spot-backed Antwren
Herpsilochmus roraimae;tepuimaursmett;Roraiman Antwren
Herpsilochmus pectoralis;halvmånemaursmett;Pectoral Antwren
Herpsilochmus longirostris;stornebbmaursmett;Large-billed Antwren
Herpsilochmus gentryi;napomaursmett;Ancient Antwren
Herpsilochmus axillaris;gulbrystmaursmett;Yellow-breasted Antwren
Herpsilochmus frater;rustvingemaursmett;Rusty-winged Antwren
Herpsilochmus rufimarginatus;rødvingemaursmett;Rufous-margined Antwren
Dysithamnus stictothorax;flekkbrystmaurvireo;Spot-breasted Antvireo
Dysithamnus mentalis;gråmaurvireo;Plain Antvireo
Dysithamnus striaticeps;strekhodemaurvireo;Streak-crowned Antvireo
Dysithamnus puncticeps;prikkhodemaurvireo;Spot-crowned Antvireo
Dysithamnus xanthopterus;rødryggmaurvireo;Rufous-backed Antvireo
Dysithamnus occidentalis;svartmaurvireo;Bicolored Antvireo
Dysithamnus plumbeus;blymaurvireo;Plumbeous Antvireo
Dysithamnus leucostictus;sotmaurvireo;White-streaked Antvireo
Thamnophilus bernardi;kragemaurvarsler;Collared Antshrike
Thamnophilus melanonotus;svartkuttemaurvarsler;Black-backed Antshrike
Thamnophilus melanothorax;båndstjertmaurvarsler;Band-tailed Antshrike
Thamnophilus doliatus;båndmaurvarsler;Barred Antshrike
Thamnophilus zarumae;okerflankemaurvarsler;Chapman's Antshrike
Thamnophilus multistriatus;stripetoppmaurvarsler;Bar-crested Antshrike
Thamnophilus tenuepunctatus;strekmaurvarsler;Lined Antshrike
Thamnophilus palliatus;brunryggmaurvarsler;Chestnut-backed Antshrike
Thamnophilus bridgesi;kullmaurvarsler;Black-hooded Antshrike
Thamnophilus nigriceps;svartmaurvarsler;Black Antshrike
Thamnophilus praecox;napomaurvarsler;Cocha Antshrike
Thamnophilus nigrocinereus;sotmaurvarsler;Blackish-grey Antshrike
Thamnophilus cryptoleucus;elvemaurvarsler;Castelnau's Antshrike
Thamnophilus aethiops;prikkmaurvarsler;White-shouldered Antshrike
Thamnophilus unicolor;gråøyemaurvarsler;Uniform Antshrike
Thamnophilus schistaceus;skifermaurvarsler;Plain-winged Antshrike
Thamnophilus murinus;brunvingemaurvarsler;Mouse-colored Antshrike
Thamnophilus aroyae;bergmaurvarsler;Upland Antshrike
Thamnophilus atrinucha;svartnakkemaurvarsler;Black-crowned Antshrike
Thamnophilus punctatus;gråmaurvarsler;Northern Slaty Antshrike
Thamnophilus stictocephalus;mørkryggmaurvarsler;Natterer's Slaty Antshrike
Thamnophilus sticturus;boliviamaurvarsler;Bolivian Slaty Antshrike
Thamnophilus pelzelni;planaltomaurvarsler;Planalto Slaty Antshrike
Thamnophilus ambiguus;leiremaurvarsler;Sooretama Slaty Antshrike
Thamnophilus amazonicus;amazonmaurvarsler;Amazonian Antshrike
Thamnophilus divisorius;divisormaurvarsler;Acre Antshrike
Thamnophilus insignis;tepuimaurvarsler;Streak-backed Antshrike
Thamnophilus caerulescens;krattmaurvarsler;Variable Antshrike
Thamnophilus torquatus;rustvingemaurvarsler;Rufous-winged Antshrike
Thamnophilus ruficapillus;rustkronemaurvarsler;Rufous-capped Antshrike
Sakesphorus canadensis;svarttoppmaurvarsler;Black-crested Antshrike
Sakesphorus luctuosus;sørgemaurvarsler;Glossy Antshrike
Radinopsyche sellowi;caatingamaursmett;Caatinga Antwren
Biatas nigropectus;hvitskjeggmaurvarsler;White-bearded Antshrike
Cymbilaimus lineatus;gittermaurvarsler;Fasciated Antshrike
Cymbilaimus sanctaemariae;bambusmaurvarsler;Bamboo Antshrike
Taraba major;hvitbrystmaurvarsler;Great Antshrike
Mackenziaena leachii;årestjertmaurvarsler;Large-tailed Antshrike
Mackenziaena severa;duskmaurvarsler;Tufted Antshrike
Frederickena viridis;svartbrystmaurvarsler;Black-throated Antshrike
Frederickena unduliger;vatremaurvarsler;Undulated Antshrike
Frederickena fulva;dunkelmaurvarsler;Fulvous Antshrike
Hypoedaleus guttatus;dråpemaurvarsler;Spot-backed Antshrike
Batara cinerea;risemaurvarsler;Giant Antshrike
Xenornis setifrons;jernmaurvarsler;Speckled Antshrike
Pithys albifrons;maskerademaurvokter;White-plumed Antbird
Pithys castaneus;hvitmaskemaurvokter;White-masked Antbird
Phaenostictus mcleannani;blåmaskemaurvokter;Ocellated Antbird
Gymnopithys bicolor;brunflankemaurvokter;Bicolored Antbird
Gymnopithys leucaspis;sotflankemaurvokter;White-cheeked Antbird
Gymnopithys rufigula;kanelmaurvokter;Rufous-throated Antbird
Oneillornis salvini;gittermaurvokter;White-throated Antbird
Oneillornis lunulatus;loretomaurvokter;Lunulated Antbird
Rhegmatorhina gymnops;brillemaurvokter;Bare-eyed Antbird
Rhegmatorhina berlepschi;harlekinmaurvokter;Harlequin Antbird
Rhegmatorhina hoffmannsi;hvitbrystmaurvokter;White-breasted Antbird
Rhegmatorhina cristata;brunkronemaurvokter;Chestnut-crested Antbird
Rhegmatorhina melanosticta;parykkmaurvokter;Hairy-crested Antbird
Phlegopsis nigromaculata;dråpemaurvokter;Black-spotted Bare-eye
Phlegopsis erythroptera;rødvingemaurvokter;Reddish-winged Bare-eye
Phlegopsis borbae;bustmaurvokter;Pale-faced Bare-eye
Willisornis poecilinotus;skjellryggmaurfugl;Common Scale-backed Antbird
Willisornis vidua;xingumaurfugl;Xingu Scale-backed Antbird
Drymophila ferruginea;rustmaurfugl;Ferruginous Antbird
Drymophila rubricollis;kaingangmaurfugl;Bertoni's Antbird
Drymophila genei;ruststjertmaurfugl;Rufous-tailed Antbird
Drymophila ochropyga;okergumpmaurfugl;Ochre-rumped Antbird
Drymophila malura;olivenryggmaurfugl;Dusky-tailed Antbird
Drymophila squamata;båndstjertmaurfugl;Scaled Antbird
Drymophila devillei;stripemaurfugl;Striated Antbird
Drymophila hellmayri;santamartamaurfugl;Santa Marta Antbird
Drymophila klagesi;venezuelamaurfugl;Klages's Antbird
Drymophila caudata;langstjertmaurfugl;East Andean Antbird
Drymophila striaticeps;stripehodemaurfugl;Streak-headed Antbird
Hypocnemis cantator;rustflankemaurfugl;Guianan Warbling Antbird
Hypocnemis flavescens;gulstenkmaurfugl;Imeri Warbling Antbird
Hypocnemis peruviana;brunflankemaurfugl;Peruvian Warbling Antbird
Hypocnemis subflava;gulbrystmaurfugl;Yellow-breasted Warbling Antbird
Hypocnemis ochrogyna;rondoniamaurfugl;Rondonia Warbling Antbird
Hypocnemis striata;mundurucumaurfugl;Spix's Warbling Antbird
Hypocnemis rondoni;stripebrystmaurfugl;Manicore Warbling Antbird
Hypocnemis hypoxantha;gulbrynmaurfugl;Yellow-browed Antbird
Sciaphylax hemimelaena;sørkastanjemaurfugl;Southern Chestnut-tailed Antbird
Sciaphylax castanea;nordkastanjemaurfugl;Northern Chestnut-tailed Antbird
Cercomacroides laeta;dunkelmaurfugl;Willis's Antbird
Cercomacroides parkeri;askemaurfugl;Parker's Antbird
Cercomacroides nigrescens;koksmaurfugl;Blackish Antbird
Cercomacroides fuscicauda;elveskogmaurfugl;Riparian Antbird
Cercomacroides tyrannina;tinnmaurfugl;Dusky Antbird
Cercomacroides serva;svartmaurfugl;Black Antbird
Cercomacra manu;manumaurfugl;Manu Antbird
Cercomacra brasiliana;botocudomaurfugl;Rio de Janeiro Antbird
Cercomacra cinerascens;gråmaurfugl;Grey Antbird
Cercomacra melanaria;matogrossomaurfugl;Mato Grosso Antbird
Cercomacra ferdinandi;bananalmaurfugl;Bananal Antbird
Cercomacra nigricans;bekmaurfugl;Jet Antbird
Cercomacra carbonaria;riobrancomaurfugl;Rio Branco Antbird
Myrmoderus ferrugineus;prydmaurfugl;Ferruginous-backed Antbird
Myrmoderus eowilsoni;azulmaurfugl;Cordillera Azul Antbird
Myrmoderus ruficauda;vatremaurfugl;Scalloped Antbird
Myrmoderus loricatus;brynjemaurfugl;White-bibbed Antbird
Myrmoderus squamosus;skjellmaurfugl;Squamate Antbird
Hypocnemoides melanopogon;svartstrupemaurfugl;Black-chinned Antbird
Hypocnemoides maculicauda;hvittippmaurfugl;Band-tailed Antbird
Hylophylax naevioides;brunryggmaurfugl;Spotted Antbird
Hylophylax naevius;flekkryggmaurfugl;Spot-backed Antbird
Hylophylax punctulatus;prikkryggmaurfugl;Dot-backed Antbird
Sclateria naevia;sølvmaurfugl;Silvered Antbird
Myrmelastes hyperythrus;blymaurfugl;Plumbeous Antbird
Myrmelastes schistaceus;skifermaurfugl;Slate-colored Antbird
Myrmelastes leucostigma;flekkvingemaurfugl;Spot-winged Antbird
Myrmelastes humaythae;humaitamaurfugl;Humaita Antbird
Myrmelastes brunneiceps;brunhodemaurfugl;Brownish-headed Antbird
Myrmelastes rufifacies;rustmaskemaurfugl;Rufous-faced Antbird
Myrmelastes saturatus;roraimamaurfugl;Roraiman Antbird
Myrmelastes caurensis;cauramaurfugl;Caura Antbird
Poliocrania exsul;kastanjeryggmaurfugl;Chestnut-backed Antbird
Ampelornis griseiceps;gråhodemaurfugl;Grey-headed Antbird
Sipia berlepschi;chocomaurfugl;Stub-tailed Antbird
Sipia nigricauda;skyggemaurfugl;Esmeraldas Antbird
Sipia palliata;magdalenamaurfugl;Magdalena Antbird
Sipia laemosticta;rødøyemaurfugl;Dull-mantled Antbird
Myrmeciza longipes;smekkemaurfugl;White-bellied Antbird
Myrmoborus melanurus;mørkstjertmaurfugl;Black-tailed Antbird
Myrmoborus lophotes;toppmaurfugl;White-lined Antbird
Myrmoborus myotherinus;maskemaurfugl;Black-faced Antbird
Myrmoborus leucophrys;hvitbrynmaurfugl;White-browed Antbird
Myrmoborus lugubris;varzeamaurfugl;Ash-breasted Antbird
Gymnocichla nudiceps;blåskallemaurfugl;Bare-crowned Antbird
Pyriglena maura;vestgloøye;Western Fire-eye
Pyriglena similis;tapajosgloøye;Tapajos Fire-eye
Pyriglena leuconota;hvitryggloøye;East Amazonian Fire-eye
Pyriglena atra;frynseryggloøye;Fringe-backed Fire-eye
Pyriglena leucoptera;hvitvingegloøye;White-shouldered Fire-eye
Rhopornis ardesiacus;skifergloøye;Slender Antbird
Percnostola rufifrons;svartkronemaurfugl;Black-headed Antbird
Percnostola arenarum;sandmaurfugl;Allpahuayo Antbird
Akletos melanoceps;epålettmaurfugl;White-shouldered Antbird
Akletos goeldii;amahuacamaurfugl;Goeldi's Antbird
Hafferia fortis;sotmaurfugl;Sooty Antbird
Hafferia immaculata;fløyelsmaurfugl;Blue-lored Antbird
Hafferia zeledoni;sambomaurfugl;Zeledon's Antbird
Formicarius colma;rødkronemaurrikse;Rufous-capped Antthrush
Formicarius analis;svartstrupemaurrikse;Black-faced Antthrush
Formicarius moniliger;mayamaurrikse;Mayan Antthrush
Formicarius rufifrons;glopannemaurrikse;Rufous-fronted Antthrush
Formicarius nigricapillus;sotmaurrikse;Black-headed Antthrush
Formicarius rufipectus;rødbrystmaurrikse;Rufous-breasted Antthrush
Chamaeza campanisona;hvittippmaurrikse;Short-tailed Antthrush
Chamaeza nobilis;stormaurrikse;Striated Antthrush
Chamaeza meruloides;blekbrystmaurrikse;Cryptic Antthrush
Chamaeza ruficauda;ruststjertmaurrikse;Rufous-tailed Antthrush
Chamaeza turdina;trostemaurrikse;Schwartz's Antthrush
Chamaeza mollissima;nettingmaurrikse;Barred Antthrush
Grallaria squamigera;skjellmaurpitta;Undulated Antpitta
Grallaria gigantea;kjempemaurpitta;Giant Antpitta
Grallaria excelsa;stormaurpitta;Great Antpitta
Grallaria varia;blånakkemaurpitta;Variegated Antpitta
Grallaria alleni;skjeggmaurpitta;Moustached Antpitta
Grallaria guatimalensis;kjedemaurpitta;Scaled Antpitta
Grallaria chthonia;tachiramaurpitta;Tachira Antpitta
Grallaria haplonota;sepiamaurpitta;Plain-backed Antpitta
Grallaria dignissima;oransjebrystmaurpitta;Ochre-striped Antpitta
Grallaria eludens;stripemaurpitta;Elusive Antpitta
Grallaria ruficapilla;brunhodemaurpitta;Chestnut-crowned Antpitta
Grallaria watkinsi;kanelhettemaurpitta;Watkins's Antpitta
Grallaria bangsi;santamartamaurpitta;Santa Marta Antpitta
Grallaria kaestneri;cundinamarcamaurpitta;Cundinamarca Antpitta
Grallaria andicolus;stripehodemaurpitta;Stripe-headed Antpitta
Grallaria griseonucha;grånakkemaurpitta;Grey-naped Antpitta
Grallaria ridgelyi;jocotocomaurpitta;Jocotoco Antpitta
Grallaria nuchalis;rustnakkemaurpitta;Chestnut-naped Antpitta
Grallaria carrikeri;bleknebbmaurpitta;Pale-billed Antpitta
Grallaria albigula;hvitstrupemaurpitta;White-throated Antpitta
Grallaria flavotincta;gulbrystmaurpitta;Yellow-breasted Antpitta
Grallaria hypoleuca;kalkbrystmaurpitta;White-bellied Antpitta
Grallaria przewalskii;ruststenkmaurpitta;Rusty-tinged Antpitta
Grallaria capitalis;brunmaurpitta;Bay Antpitta
Grallaria erythroleuca;rødmaurpitta;Red-and-white Antpitta
Grallaria spatiator;sierranevadamaurpitta;Sierra Nevada Antpitta
Grallaria saltuensis;perijamaurpitta;Perija Antpitta
Grallaria rufula;muiscamaurpitta;Muisca Antpitta
Grallaria rufocinerea;jernmaurpitta;Bicolored Antpitta
Grallaria alvarezi;chamimaurpitta;Chami Antpitta
Grallaria saturata;ekvatorialmaurpitta;Equatorial Antpitta
Grallaria cajamarcae;cajamarcamaurpitta;Cajamarca Antpitta
Grallaria blakei;nøttemaurpitta;Chestnut Antpitta
Grallaria gravesi;chachapoyamaurpitta;Chachapoyas Antpitta
Grallaria oneilli;panaomaurpitta;Panao Antpitta
Grallaria obscura;juninmaurpitta;Junin Antpitta
Grallaria centralis;oxapampamaurpitta;Oxapampa Antpitta
Grallaria ayacuchensis;ayacuchomaurpitta;Ayacucho Antpitta
Grallaria occabambae;urubambamaurpitta;Urubamba Antpitta
Grallaria sinaensis;punomaurpitta;Puno Antpitta
Grallaria cochabambae;boliviamaurpitta;Bolivian Antpitta
Grallaria quitensis;okermaurpitta;Tawny Antpitta
Grallaria alticola;hvithakemaurpitta;Boyaca Antpitta
Grallaria atuensis;atuenmaurpitta;Atuen Antpitta
Grallaria milleri;umbramaurpitta;Brown-banded Antpitta
Grallaria urraoensis;urraomaurpitta;Urrao Antpitta
Grallaria erythrotis;oransjekinnmaurpitta;Rufous-faced Antpitta
Cryptopezus nattereri;prikkbrystmaurpitta;Speckle-breasted Antpitta
Hylopezus perspicillatus;brillemaurpitta;Streak-chested Antpitta
Hylopezus macularius;flekkmaurpitta;Spotted Antpitta
Hylopezus paraensis;parámaurpitta;Snethlage's Antpitta
Hylopezus whittakeri;altaflorestamaurpitta;Alta Floresta Antpitta
Hylopezus auricularis;brunøremaurpitta;Masked Antpitta
Hylopezus ochroleucus;hvitbrynmaurpitta;White-browed Antpitta
Myrmothera fulviventris;Hvittøylemaurpitta;White-lored Antpitta
Myrmothera berlepschi;Amazonmaurpitta;Amazonian Antpitta
Myrmothera dives;Oransjeflankemaurpitta;Thicket Antpitta
Myrmothera simplex;tepuimaurpitta;Tepui Antpitta
Myrmothera campanisona;brunryggmaurpitta;Thrush-like Antpitta
Myrmothera subcanescens;tapajosmaurpitta;Tapajos Antpitta
Grallaricula flavirostris;okerbrystmaurpitta;Ochre-breasted Antpitta
Grallaricula loricata;skjellbrystmaurpitta;Scallop-breasted Antpitta
Grallaricula cucullata;rødhodemaurpitta;Hooded Antpitta
Grallaricula peruviana;piuramaurpitta;Peruvian Antpitta
Grallaricula ochraceifrons;okerpannemaurpitta;Ochre-fronted Antpitta
Grallaricula ferrugineipectus;rustbrystmaurpitta;Rusty-breasted Antpitta
Grallaricula leymebambae;inkamaurpitta;Rufous-breasted Antpitta
Grallaricula nana;skiferkronemaurpitta;Slaty-crowned Antpitta
Grallaricula cumanensis;gråkronemaurpitta;Sucre Antpitta
Grallaricula lineifrons;sigdmaurpitta;Crescent-faced Antpitta
Conopophaga lineata;rustmyggeter;Rufous Gnateater
Conopophaga aurita;amazonmyggeter;Chestnut-belted Gnateater
Conopophaga snethlageae;svartbrystmyggeter;Black-breasted Gnateater
Conopophaga roberti;hettemyggeter;Hooded Gnateater
Conopophaga peruviana;perumyggeter;Ash-throated Gnateater
Conopophaga cearae;cearamyggeter;Ceara Gnateater
Conopophaga ardesiaca;skifermyggeter;Slaty Gnateater
Conopophaga castaneiceps;andesmyggeter;Chestnut-crowned Gnateater
Conopophaga melanops;svartkinnmyggeter;Black-cheeked Gnateater
Conopophaga melanogaster;svartbukmyggeter;Black-bellied Gnateater
Pittasoma michleri;svartkronemyggpitta;Black-crowned Antpitta
Pittasoma rufopileatum;rustkronemyggpitta;Rufous-crowned Antpitta
Acropternis orthonyx;perletapakulo;Ocellated Tapaculo
Pteroptochos castaneus;brunbrystturka;Chestnut-throated Huet-huet
Pteroptochos tarnii;svartbrystturka;Black-throated Huet-huet
Pteroptochos megapodius;skjeggturka;Moustached Turca
Scelorchilus albicollis;hvitstrupetapakulo;White-throated Tapaculo
Scelorchilus rubecula;rødstrupetapakulo;Chucao Tapaculo
Rhinocrypta lanceolata;topptapakulo;Crested Gallito
Teledromas fuscus;løpetapakulo;Sandy Gallito
Liosceles thoracicus;rustbåndtapakulo;Rusty-belted Tapaculo
Psilorhamphus guttatus;stjernesmett;Spotted Bamboowren
Merulaxis ater;svartbørstepanne;Slaty Bristlefront
Merulaxis stresemanni;bahiabørstepanne;Stresemann's Bristlefront
Eugralla paradoxa;brunflanketapakulo;Ochre-flanked Tapaculo
Myornis senilis;asketapakulo;Ash-colored Tapaculo
Eleoscytalopus indigoticus;hvitbrysttapakulo;White-breasted Tapaculo
Eleoscytalopus psychopompus;hermestapakulo;Bahia Tapaculo
Scytalopus iraiensis;sumptapakulo;Marsh Tapaculo
Scytalopus diamantinensis;diamantinatapakulo;Diamantina Tapaculo
Scytalopus novacapitalis;brasiliatapakulo;Brasilia Tapaculo
Scytalopus petrophilus;bergtapakulo;Rock Tapaculo
Scytalopus pachecoi;planaltotapakulo;Planalto Tapaculo
Scytalopus gonzagai;boanovatapakulo;Boa Nova Tapaculo
Scytalopus speluncae;blytapakulo;Mouse-colored Tapaculo
Scytalopus fuscus;kokstapakulo;Dusky Tapaculo
Scytalopus magellanicus;magellantapakulo;Magellanic Tapaculo
Scytalopus affinis;ancashtapakulo;Ancash Tapaculo
Scytalopus krabbei;hvithåndtapakulo;White-winged Tapaculo
Scytalopus androstictus;polylepistapakulo;Loja Tapaculo
Scytalopus opacus;paramotapakulo;Paramo Tapaculo
Scytalopus canus;paramillotapakulo;Paramillo Tapaculo
Scytalopus superciliaris;hvitbryntapakulo;White-browed Tapaculo
Scytalopus zimmeri;tarijatapakulo;Zimmer's Tapaculo
Scytalopus simonsi;punatapakulo;Puna Tapaculo
Scytalopus schulenbergi;diademtapakulo;Diademed Tapaculo
Scytalopus urubambae;vilcabambatapakulo;Vilcabamba Tapaculo
Scytalopus whitneyi;ampaytapakulo;Ampay Tapaculo
Scytalopus frankeae;jalcatapakulo;Jalca Tapaculo
Scytalopus altirostris;neblinatapakulo;Neblina Tapaculo
Scytalopus parvirostris;trilletapakulo;Trilling Tapaculo
Scytalopus bolivianus;boliviatapakulo;Bolivian Tapaculo
Scytalopus atratus;hvitkronetapakulo;White-crowned Tapaculo
Scytalopus sanctaemartae;santamartatapakulo;Santa Marta Tapaculo
Scytalopus micropterus;langstjerttapakulo;Long-tailed Tapaculo
Scytalopus femoralis;perutapakulo;Rufous-vented Tapaculo
Scytalopus intermedius;utcubambatapakulo;Utcubamba Tapaculo
Scytalopus macropus;storfottapakulo;Large-footed Tapaculo
Scytalopus gettyae;junintapakulo;Junin Tapaculo
Scytalopus unicolor;gråtapakulo;Unicolored Tapaculo
Scytalopus acutirostris;skifertapakulo;Tschudi's Tapaculo
Scytalopus latrans;bektapakulo;Blackish Tapaculo
Scytalopus argentifrons;sølvbryntapakulo;Silvery-fronted Tapaculo
